Ligand,coordination,A,B,C,D,A+B+C+D,smi
Tris(4-methoxyphenyl)phosphine,0,43,1,187,32,264,COC1=CC=C(P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)C=C1
"Tris(3,5-dimethylphenyl)phosphine",0,32,1,222,15,270,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1
"Tris(4-methoxy-3,5-dimethylphenyl)-phosphine",0,32,1,214,21,268,CC1=C(OC)C(C)=CC(P(C2=CC(C)=C(OC)C(C)=C2)C3=CC(C)=C(OC)C(C)=C3)=C1
Triphenylphosphine,0,48,1,214,8,270,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
"Tris[3,5-bis(trifluoromethyl)phenyl]-phosphine",0,60,4,189,6,260,FC(C1=CC(C(F)(F)F)=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=C1)(F)F
 Tris(4-trifluoromethylphenyl)phosphine,0,59,2,199,6,267,FC(C1=CC=C(P(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3)C=C1)(F)F
 (Pentafluorophenyl)diphenylphosphine,0,54,2,191,27,275,FC1=C(F)C(F)=C(F)C(F)=C1P(C2=CC=CC=C2)C3=CC=CC=C3
 Bis(pentafluorophenyl)phenylphosphine,0,19,6,80,94,199,FC1=C(F)C(F)=C(F)C(F)=C1P(C2=C(F)C(F)=C(F)C(F)=C2F)C3=CC=CC=C3
Tris(pentafluorophenyl)phosphine,0,14,6,4,54,78,FC1=C(F)C(F)=C(F)C(F)=C1P(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F
Tri-tert-butylphosphine,0,3,1,87,105,196,CC(P(C(C)(C)C)C(C)(C)C)(C)C
Di(1-adamantyl)-n-butylphosphine,0,16,1,107,100,224,CCCCP([C@]12CC3CC(C1)C[C@@H](C2)C3)[C@]45C[C@@H]6C[C@H](C4)C[C@H](C5)C6
Di(1-adamantyl)benzylphosphine,0,11,1,120,111,243,[C@@H]12C[C@H](C[C@]3(P([C@]45CC6CC(C4)C[C@@H](C5)C6)CC7=CC=CC=C7)C2)C[C@H](C3)C1
Tris(1-adamantyl)phosphine,0,0,0,70,167,236,[C@@H]12C[C@H](C[C@]3(C([C@@]45CC6CC(C4)C[C@H](C5)C6)[C@]78CC9CC(C7)C[C@@H](C8)C9)C2)C[C@H](C3)C1
