structure,trans_HOMO-1,trans_HOMO,trans_LUMO,trans_LUMO+1,trans_densPd,trans_densP1,trans_densP2,trans_CMull_Pd,trans_CMull_P1,trans_CMull_P2,trans_Chir_Pd,trans_Chir_P1,trans_Chir_P2,trans_Cvor_Pd,trans_Cvor_P1,trans_Cvor_P2,trans_Cmdc_Pd,trans_Cmdc_P1,trans_Cmdc_P2,trans_dipol,trans_EPd,trans_EP1,trans_EP2,cis_HOMO-1,cis_HOMO,cis_LUMO,cis_LUMO+1,cis_densPd,cis_densP1,cis_densP2,cis_CMull_Pd,cis_CMull_P1,cis_CMull_P2,cis_Chir_Pd,cis_Chir_P1,cis_Chir_P2,cis_Cvor_Pd,cis_Cvor_P1,cis_Cvor_P2,cis_Cmdc_Pd,cis_Cmdc_P1,cis_Cmdc_P2,cis_dipol,cis_EPd,cis_EP1,cis_EP2,bite_angle,buried_volume,cone_angle,sasa_area,sasa_atom_area,sasa_volume,solid_angle_G,solid_angle_cone_angle,solid_angle_solid_angle,sterimol_B1,sterimol_B5,sterimol_L,A,B,C,D,A+B+C+D
36,-4.482,-4.173,-3.072,-2.007,106226.4516,2232.86257,2232.8981,-0.2003,0.8683,0.8288,0.3266,0.2025,0.1949,0.341,0.163,0.159,0.706838,1.104831,1.090306,8.433356,267.628719,54.438185,54.435684,-4.669,-4.293,-3.231,-2.034,106225.8893,2233.09426,2232.81699,-0.1456,0.8184,0.9135,0.3114,0.1791,0.1972,0.32,0.142,0.161,0.66655,1.072604,1.083345,15.69271,267.640278,54.454453,54.421397,105.7341005,0.952951258,205.4413733,922.2237346,0,1961.507896,99.73906169,351.1663928,12.53358014,3.930351169,10.20050231,8.66269347,82,2,103,69,256
38,-5.557,-5.173,-2.733,-2.399,106228.1128,2232.57592,2232.54969,-0.2137,0.5759,0.5611,0.2941,0.182,0.1898,0.304,0.14,0.145,0.607482,1.066326,1.080382,7.398238,267.604466,54.421622,54.416162,-5.632,-5.129,-2.71,-2.468,106227.779,2232.63984,2232.51966,-0.2478,0.5964,0.6276,0.2844,0.1619,0.184,0.284,0.128,0.134,0.5567,1.046078,1.061575,12.903085,267.605015,54.432312,54.397539,176.1570508,0.668976994,279.0911874,673.2268729,23.42349932,1173.271255,65.38837502,215.8501853,8.216945543,3.173807318,6.136276352,10.77537475,66,3,184,15,268
39,-5.225,-4.655,-2.261,-1.991,106227.6193,2232.77485,2232.75222,-0.3401,0.9109,0.8753,0.3246,0.2027,0.2026,0.325,0.158,0.152,0.691462,1.086761,1.068915,7.282099,267.622144,54.443897,54.439204,-5.125,-4.579,-2.343,-1.965,106226.7089,2232.92139,2232.7289,-0.2273,0.8123,0.9156,0.3049,0.1804,0.2067,0.31,0.127,0.156,0.645352,1.042743,1.068762,12.855176,267.627855,54.44486,54.424148,29.33791422,0.928680091,343.7822891,837.9540557,0,1665.37836,92.53313124,296.6481088,11.62805621,4.810337934,9.677078222,7.141565293,32,1,105,73,210
40,-5.444,-4.861,-2.508,-2.226,106227.9223,2232.73512,2232.73206,-0.286,0.8606,0.8594,0.3046,0.1995,0.201,0.307,0.146,0.136,0.636402,1.047852,1.05599,10.614612,267.615048,54.437363,54.437312,-5.411,-4.743,-2.4,-2.256,106227.2009,2232.86051,2232.74672,-0.2303,0.8181,0.9244,0.3052,0.1769,0.1987,0.308,0.116,0.149,0.622062,1.018208,1.02885,10.893076,267.611597,54.441563,54.416477,165.5734847,0.72599848,277.3120752,815.4347222,9.179130921,1505.133996,73.0379322,234.8866001,9.178217249,4.106927209,6.763395646,10.21857935,36,1,222,5,264
42,-4.784,-4.648,-2.364,-2.049,106226.9937,2233.01871,2233.1032,-0.3705,1.0754,1.0825,0.3438,0.2142,0.2142,0.328,0.145,0.139,0.66263,1.002998,1.024137,3.196134,267.604549,54.436275,54.436555,-4.752,-4.572,-2.733,-2.1,106224.2373,2233.12141,2233.22749,-0.4523,1.0084,0.919,0.3482,0.1988,0.1831,0.329,0.129,0.095,0.708129,0.982696,0.98261,10.329213,267.620798,54.439993,54.453583,19.01277731,0.909609484,344.164798,1151.303732,0,2576.170088,97.18273985,321.3494356,12.21234326,5.639693524,14.21499287,7.092224818,26,4,62,80,171
43,-5.542,-4.979,-2.639,-2.387,106227.5784,2232.80982,2232.7768,-0.3562,0.8561,0.9031,0.326,0.2083,0.2087,0.321,0.14,0.145,0.646845,1.036274,1.036148,5.938569,267.60131,54.42854,54.425493,-5.529,-5.035,-2.642,-2.54,106226.8356,2232.77249,2232.87313,-0.4116,0.913,0.8829,0.3192,0.2013,0.1825,0.304,0.136,0.111,0.62124,1.020688,1.001931,11.22507,267.605252,54.4153,54.437426,122.5190747,0.938140608,335.4373819,814.2657513,0,1613.002892,93.98376572,303.2064431,11.81034832,5.084663809,6.710122718,9.906699548,60,1,189,17,267
44,-5.39,-4.974,-2.63,-2.615,106227.8319,2232.80743,2232.79338,-0.45,0.877,0.879,0.3273,0.2124,0.2106,0.321,0.131,0.136,0.673179,1.051643,1.045299,5.983011,267.604739,54.429862,54.427042,-5.297,-4.897,-2.827,-2.705,106226.558,2232.92517,2232.76683,-0.4145,0.8155,0.9053,0.3288,0.1886,0.205,0.317,0.1,0.129,0.6671,0.996831,1.034774,9.757164,267.609441,54.435505,54.414543,100.2603626,0.666155826,0,980.0315271,1.767277267,1946.78277,0,0,0,5.002090691,8.878956015,11.9028366,39,15,29,153,237
45,-5.525,-5.016,-2.546,-2.431,106227.2636,2232.79977,2232.8082,-0.6143,0.889,0.9501,0.3485,0.2151,0.2216,0.335,0.128,0.134,0.70965,1.03849,1.064346,5.360883,267.599571,54.422625,54.427259,-5.447,-5.032,-2.67,-2.501,106226.1988,2232.94339,2232.7842,-0.4937,0.8518,0.9284,0.3419,0.1962,0.2074,0.323,0.108,0.126,0.697367,1.013059,1.023182,9.872812,267.607135,54.437644,54.412567,28.45759988,0.842107715,337.8391178,845.8160201,0,1605.247745,84.58538915,267.5308943,10.62931349,4.851953292,9.701374713,7.17189428,36,20,22,173,251
47,-5.109,-4.745,-2.534,-1.845,106227.3263,2232.99475,2232.96921,-0.4863,1.0785,1.0482,0.3175,0.2099,0.2238,0.311,0.132,0.14,0.634844,0.994934,1.034017,9.617374,267.606012,54.436337,54.440075,-4.766,-4.357,-2.977,-2.317,106226.4676,2233.03496,2233.07591,-0.4615,1.0534,1.0208,0.3479,0.1933,0.1906,0.323,0.119,0.102,0.676121,0.992123,0.987689,10.564528,267.612582,54.451707,54.452461,30.86811533,0.880712575,335.2843269,936.5170525,0,1973.557527,94.93827124,308.0792621,11.93029502,4.834392219,11.46213266,6.960060883,18,1,64,51,134
48,-4.983,-4.606,-2.296,-1.766,106227.3743,2233.00218,2232.94916,-0.4332,1.0218,1.1104,0.3185,0.2112,0.2241,0.308,0.135,0.136,0.624189,1.002184,1.040741,5.631529,267.607698,54.443962,54.441187,-5.015,-4.636,-2.442,-2.178,106226.7619,2233.2474,2232.92868,-0.3698,0.827,0.9975,0.3242,0.1747,0.2086,0.307,0.097,0.124,0.622026,0.94147,1.005555,11.7427,267.614691,54.460829,54.428011,25.69396862,0.88964979,0,1023.429842,2.29E-05,2228.291583,0,0,0,2.973250139,13.39940203,6.633852749,6,0,35,14,56
49,-5.49,-4.919,-2.554,-2.045,106228.1828,2232.78576,2232.80074,-0.4023,1.0091,0.9663,0.3155,0.2066,0.2105,0.307,0.137,0.136,0.636338,1.040687,1.030691,5.327286,267.602988,54.436777,54.436119,-5.634,-4.867,-2.603,-2.156,106227.6291,2232.75462,2232.89977,-0.3813,1.0373,0.9472,0.3086,0.2076,0.1896,0.298,0.141,0.12,0.610681,1.024465,0.984406,11.996555,267.607607,54.420229,54.443164,176.6412563,0.718167234,318.3359425,825.0775637,0.323982927,1503.841206,76.46360677,243.9199367,9.608700212,5.084475289,6.615059446,10.26299911,55,2,170,35,262
50,-5.423,-4.901,-2.578,-1.959,106228.1314,2232.87877,2232.87729,-0.5546,1.1296,1.1486,0.3163,0.2134,0.213,0.304,0.129,0.128,0.633324,1.023033,1.028122,5.532247,267.60309,54.438586,54.441874,-5.629,-4.875,-2.541,-2.182,106227.2226,2232.84199,2232.98676,-0.4046,1.1303,1.0845,0.2966,0.2086,0.1859,0.283,0.13,0.102,0.565606,1.015198,0.982604,11.053467,267.607319,54.425425,54.447674,177.427932,0.736895366,319.3153882,814.3683357,0.103637555,1540.061243,79.83487793,253.3303614,10.03234664,5.065452392,6.682943617,9.93065469,44,2,140,47,233
51,-5.315,-4.782,-2.589,-1.677,106227.9152,2232.96414,2232.93108,-0.5746,1.2195,1.2985,0.3171,0.2125,0.2117,0.307,0.128,0.12,0.642774,1.001398,1.010278,6.991369,267.607969,54.447638,54.445065,-5.407,-4.731,-2.462,-2.05,106227.0336,2233.0484,2232.94109,-0.4213,1.1548,1.1746,0.2919,0.188,0.209,0.279,0.106,0.124,0.555915,0.958519,0.990873,11.783134,267.612409,54.451537,54.427567,29.51870997,0.740433028,318.8967724,842.9049557,0.159018715,1607.312162,79.61569975,252.6639155,10.0048039,4.456989047,9.667181471,6.985834109,44,9,48,134,235
